,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
7093,Trade: type 2,Commercial associate,Sales staff,,,,,
7094,XNA,Pensioner,UNKNOWN,,,,,
7095,XNA,Pensioner,UNKNOWN,,,,,
7096,XNA,Pensioner,UNKNOWN,,,,,
7097,Business Entity Type 3,Working,UNKNOWN,,,,,
7098,XNA,Pensioner,UNKNOWN,,,,,
7099,XNA,Pensioner,UNKNOWN,,,,,
7100,Transport: type 4,Commercial associate,Accountants,,,,,
7101,Trade: type 7,Working,Core staff,,,,,
7102,Bank,Working,Core staff,,,,,
7103,XNA,Pensioner,UNKNOWN,,,,,
7104,XNA,Pensioner,UNKNOWN,,,,,
7105,Industry: type 11,State servant,Managers,,,,,
7106,Self-employed,Working,Drivers,,,,,
7107,Self-employed,Working,UNKNOWN,,,,,
7108,XNA,Pensioner,UNKNOWN,,,,,
7109,Government,Commercial associate,Laborers,,,,,
7110,Other,State servant,Security staff,,,,,
7111,Construction,Working,Laborers,,,,,
7112,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7113,Mobile,Working,Laborers,,,,,
7114,Other,Working,Drivers,,,,,
7115,XNA,Pensioner,UNKNOWN,,,,,
7116,Government,State servant,Medicine staff,,,,,
7117,Kindergarten,State servant,Managers,,,,,
7118,Self-employed,Working,Managers,,,,,
7119,Self-employed,Working,Drivers,,,,,
7120,School,Working,Managers,,,,,
7121,Business Entity Type 3,Working,Laborers,,,,,
7122,XNA,Pensioner,UNKNOWN,,,,,
7123,Trade: type 7,Working,UNKNOWN,,,,,
7124,XNA,Pensioner,UNKNOWN,,,,,
7125,Transport: type 3,Working,Drivers,,,,,
7126,Kindergarten,State servant,Core staff,,,,,
7127,Self-employed,Commercial associate,Drivers,,,,,
7128,Business Entity Type 3,Commercial associate,Core staff,,,,,
7129,Government,Working,Core staff,,,,,
7130,XNA,Pensioner,UNKNOWN,,,,,
7131,Postal,State servant,Laborers,,,,,
7132,Trade: type 3,Commercial associate,Sales staff,,,,,
7133,Trade: type 7,Working,Core staff,,,,,
7134,XNA,Pensioner,UNKNOWN,,,,,
7135,XNA,Pensioner,UNKNOWN,,,,,
7136,Business Entity Type 3,Commercial associate,Core staff,,,,,
7137,XNA,Pensioner,UNKNOWN,,,,,
7138,Other,Working,Laborers,,,,,
7139,Business Entity Type 3,Working,UNKNOWN,,,,,
7140,Self-employed,Working,Sales staff,,,,,
7141,Business Entity Type 3,Working,Security staff,,,,,
7142,Business Entity Type 2,Commercial associate,Accountants,,,,,
7143,Industry: type 3,Working,UNKNOWN,,,,,
7144,Medicine,State servant,Laborers,,,,,
7145,Business Entity Type 3,Working,Laborers,,,,,
7146,Self-employed,Working,UNKNOWN,,,,,
7147,Self-employed,Working,Drivers,,,,,
7148,Self-employed,Working,Laborers,,,,,
7149,Kindergarten,Working,Core staff,,,,,
7150,XNA,Pensioner,UNKNOWN,,,,,
7151,XNA,Pensioner,UNKNOWN,,,,,
7152,Medicine,State servant,Medicine staff,,,,,
7153,Business Entity Type 3,Working,Laborers,,,,,
7154,XNA,Pensioner,UNKNOWN,,,,,
7155,Trade: type 1,Working,Core staff,,,,,
7156,Industry: type 3,Working,Cooking staff,,,,,
7157,Business Entity Type 2,Working,UNKNOWN,,,,,
7158,XNA,Pensioner,UNKNOWN,,,,,
7159,Business Entity Type 3,Working,Laborers,,,,,
7160,Postal,Working,Laborers,,,,,
7161,XNA,Pensioner,UNKNOWN,,,,,
7162,Self-employed,Working,Laborers,,,,,
7163,Medicine,State servant,Core staff,,,,,
7164,Business Entity Type 3,Working,Sales staff,,,,,
7165,Business Entity Type 3,Working,Laborers,,,,,
7166,XNA,Pensioner,UNKNOWN,,,,,
7167,Transport: type 2,Working,Drivers,,,,,
7168,School,Working,Core staff,,,,,
7169,XNA,Pensioner,UNKNOWN,,,,,
7170,Business Entity Type 3,Commercial associate,Managers,,,,,
7171,Transport: type 2,Working,UNKNOWN,,,,,
7172,Industry: type 3,Commercial associate,High skill tech staff,,,,,
7173,Business Entity Type 1,Commercial associate,Laborers,,,,,
7174,Business Entity Type 3,Working,Laborers,,,,,
7175,Trade: type 7,Working,Drivers,,,,,
7176,Government,Commercial associate,Managers,,,,,
7177,Business Entity Type 3,Working,Sales staff,,,,,
7178,Medicine,Working,Medicine staff,,,,,
7179,Business Entity Type 3,Working,UNKNOWN,,,,,
7180,Other,Working,Sales staff,,,,,
7181,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7182,Business Entity Type 3,Working,Cooking staff,,,,,
7183,XNA,Pensioner,UNKNOWN,,,,,
7184,Business Entity Type 3,Working,Waiters/barmen staff,,,,,
7185,XNA,Pensioner,UNKNOWN,,,,,
7186,XNA,Pensioner,UNKNOWN,,,,,
7187,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7188,Self-employed,Working,Sales staff,,,,,
7189,XNA,Pensioner,UNKNOWN,,,,,
7190,XNA,Pensioner,UNKNOWN,,,,,
7191,Business Entity Type 3,Commercial associate,Laborers,,,,,
7192,Business Entity Type 3,Working,Managers,,,,,
7193,Industry: type 9,Working,Laborers,,,,,
7194,Self-employed,Working,Sales staff,,,,,
7195,Business Entity Type 3,Working,Cooking staff,,,,,
7196,Medicine,Working,Secretaries,,,,,
7197,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7198,Business Entity Type 3,Commercial associate,Laborers,,,,,
7199,Business Entity Type 3,Commercial associate,Accountants,,,,,
7200,XNA,Pensioner,UNKNOWN,,,,,
7201,Business Entity Type 3,Working,Laborers,,,,,
7202,Business Entity Type 3,Commercial associate,Laborers,,,,,
7203,Kindergarten,Working,Managers,,,,,
7204,Business Entity Type 3,Working,High skill tech staff,,,,,
7205,XNA,Pensioner,UNKNOWN,,,,,
7206,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7207,XNA,Pensioner,UNKNOWN,,,,,
7208,Business Entity Type 2,Commercial associate,UNKNOWN,,,,,
7209,XNA,Pensioner,UNKNOWN,,,,,
7210,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
7211,Government,Working,Laborers,,,,,
7212,Business Entity Type 1,Commercial associate,Drivers,,,,,
7213,Government,Commercial associate,Laborers,,,,,
7214,Kindergarten,Working,Core staff,,,,,
7215,Other,Working,Laborers,,,,,
7216,XNA,Pensioner,UNKNOWN,,,,,
7217,Services,Working,Laborers,,,,,
7218,Trade: type 3,Commercial associate,Core staff,,,,,
7219,Self-employed,Working,Laborers,,,,,
7220,Trade: type 3,Commercial associate,High skill tech staff,,,,,
7221,XNA,Pensioner,UNKNOWN,,,,,
7222,Transport: type 2,Working,Laborers,,,,,
7223,Postal,Working,Laborers,,,,,
7224,XNA,Pensioner,UNKNOWN,,,,,
7225,Medicine,State servant,Medicine staff,,,,,
7226,Government,Working,Laborers,,,,,
7227,Business Entity Type 3,Working,Managers,,,,,
7228,Hotel,Working,Medicine staff,,,,,
7229,Business Entity Type 3,Working,UNKNOWN,,,,,
7230,XNA,Pensioner,UNKNOWN,,,,,
7231,XNA,Pensioner,UNKNOWN,,,,,
7232,Other,Commercial associate,Managers,,,,,
7233,Business Entity Type 3,Working,Security staff,,,,,
7234,Business Entity Type 3,Working,Laborers,,,,,
7235,Other,Working,UNKNOWN,,,,,
7236,XNA,Pensioner,UNKNOWN,,,,,
7237,Hotel,Working,Drivers,,,,,
7238,Business Entity Type 1,Commercial associate,Sales staff,,,,,
7239,Business Entity Type 3,Working,Accountants,,,,,
7240,Security Ministries,Working,Secretaries,,,,,
7241,XNA,Pensioner,UNKNOWN,,,,,
7242,Industry: type 7,Working,Laborers,,,,,
7243,XNA,Pensioner,UNKNOWN,,,,,
7244,XNA,Pensioner,UNKNOWN,,,,,
7245,XNA,Pensioner,UNKNOWN,,,,,
7246,Business Entity Type 3,Working,Core staff,,,,,
7247,Other,Working,Laborers,,,,,
7248,XNA,Pensioner,UNKNOWN,,,,,
7249,Industry: type 9,Working,High skill tech staff,,,,,
7250,Postal,Working,Core staff,,,,,
7251,Self-employed,Working,Sales staff,,,,,
7252,Government,Working,UNKNOWN,,,,,
7253,XNA,Pensioner,UNKNOWN,,,,,
7254,Security Ministries,State servant,Managers,,,,,
7255,Business Entity Type 3,Working,Cleaning staff,,,,,
7256,Services,Commercial associate,Private service staff,,,,,
7257,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7258,Industry: type 9,Working,Laborers,,,,,
7259,Military,Working,Core staff,,,,,
7260,Self-employed,Working,Managers,,,,,
7261,Construction,Commercial associate,Laborers,,,,,
7262,School,Working,Core staff,,,,,
7263,XNA,Pensioner,UNKNOWN,,,,,
7264,Trade: type 2,Working,Core staff,,,,,
7265,Industry: type 1,Commercial associate,UNKNOWN,,,,,
7266,Construction,Commercial associate,Laborers,,,,,
7267,Business Entity Type 3,Working,Sales staff,,,,,
7268,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7269,Business Entity Type 3,Working,Cooking staff,,,,,
7270,Security Ministries,Working,Core staff,,,,,
7271,Business Entity Type 3,Working,Sales staff,,,,,
7272,Self-employed,Working,Drivers,,,,,
7273,Business Entity Type 3,Working,Realty agents,,,,,
7274,Self-employed,Working,Core staff,,,,,
7275,XNA,Pensioner,UNKNOWN,,,,,
7276,Medicine,State servant,Medicine staff,,,,,
7277,Business Entity Type 3,Working,Sales staff,,,,,
7278,Government,State servant,Managers,,,,,
7279,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7280,XNA,Pensioner,UNKNOWN,,,,,
7281,Security Ministries,State servant,Laborers,,,,,
7282,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7283,School,Working,Laborers,,,,,
7284,Self-employed,Working,Sales staff,,,,,
7285,Transport: type 4,Commercial associate,Drivers,,,,,
7286,Self-employed,Working,Managers,,,,,
7287,XNA,Pensioner,UNKNOWN,,,,,
7288,Medicine,State servant,Medicine staff,,,,,
7289,Government,Working,UNKNOWN,,,,,
7290,Other,State servant,Managers,,,,,
7291,Industry: type 11,Working,Laborers,,,,,
7292,Security Ministries,Commercial associate,Core staff,,,,,
7293,Self-employed,Working,Laborers,,,,,
7294,Business Entity Type 3,Working,Accountants,,,,,
7295,Trade: type 7,Working,Sales staff,,,,,
7296,Business Entity Type 2,Working,Accountants,,,,,
7297,Self-employed,Commercial associate,Sales staff,,,,,
7298,Construction,Working,Laborers,,,,,
7299,Self-employed,Commercial associate,Core staff,,,,,
7300,Self-employed,Working,High skill tech staff,,,,,
7301,XNA,Pensioner,UNKNOWN,,,,,
7302,Industry: type 11,Working,Security staff,,,,,
7303,XNA,Pensioner,UNKNOWN,,,,,
7304,Other,Working,UNKNOWN,,,,,
7305,Kindergarten,State servant,Core staff,,,,,
7306,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7307,Business Entity Type 3,Working,Drivers,,,,,
7308,Trade: type 3,Commercial associate,Managers,,,,,
7309,Business Entity Type 3,Working,UNKNOWN,,,,,
7310,Business Entity Type 3,Commercial associate,Low-skill Laborers,,,,,
7311,Self-employed,Commercial associate,Core staff,,,,,
7312,Emergency,Working,Core staff,,,,,
7313,Business Entity Type 3,Working,Laborers,,,,,
7314,Business Entity Type 2,Working,Laborers,,,,,
7315,Industry: type 11,Working,Laborers,,,,,
7316,XNA,Pensioner,UNKNOWN,,,,,
7317,Self-employed,Working,Laborers,,,,,
7318,Kindergarten,Working,Core staff,,,,,
7319,Business Entity Type 3,Working,High skill tech staff,,,,,
7320,Industry: type 9,Working,Laborers,,,,,
7321,Business Entity Type 2,Working,Laborers,,,,,
7322,XNA,Pensioner,UNKNOWN,,,,,
7323,Other,Working,Drivers,,,,,
7324,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
7325,Business Entity Type 2,Working,UNKNOWN,,,,,
7326,XNA,Pensioner,UNKNOWN,,,,,
7327,Business Entity Type 3,Commercial associate,Drivers,,,,,
7328,Business Entity Type 2,Working,UNKNOWN,,,,,
7329,Business Entity Type 3,Working,Drivers,,,,,
7330,Other,Working,UNKNOWN,,,,,
7331,Business Entity Type 3,Working,UNKNOWN,,,,,
7332,XNA,Pensioner,UNKNOWN,,,,,
7333,Postal,Working,Core staff,,,,,
7334,XNA,Pensioner,UNKNOWN,,,,,
7335,XNA,Pensioner,UNKNOWN,,,,,
7336,XNA,Pensioner,UNKNOWN,,,,,
7337,Kindergarten,Working,Core staff,,,,,
7338,Industry: type 7,Working,Cleaning staff,,,,,
7339,Medicine,Working,Medicine staff,,,,,
7340,Medicine,Working,Medicine staff,,,,,
7341,Other,Commercial associate,Sales staff,,,,,
7342,XNA,Pensioner,UNKNOWN,,,,,
7343,Business Entity Type 2,Working,Laborers,,,,,
7344,Self-employed,Working,Drivers,,,,,
7345,Business Entity Type 2,Commercial associate,UNKNOWN,,,,,
7346,Trade: type 7,Commercial associate,Managers,,,,,
7347,Medicine,Working,Medicine staff,,,,,
7348,Construction,Working,Laborers,,,,,
7349,Other,Working,Laborers,,,,,
7350,XNA,Pensioner,UNKNOWN,,,,,
7351,Military,Working,Laborers,,,,,
7352,Business Entity Type 3,Commercial associate,Accountants,,,,,
7353,Business Entity Type 3,Working,Sales staff,,,,,
7354,Postal,State servant,Core staff,,,,,
7355,Business Entity Type 2,Working,Low-skill Laborers,,,,,
7356,Business Entity Type 3,Working,Sales staff,,,,,
7357,Housing,Working,High skill tech staff,,,,,
7358,Security Ministries,Working,Core staff,,,,,
7359,Self-employed,Commercial associate,Drivers,,,,,
7360,Business Entity Type 2,Commercial associate,Laborers,,,,,
7361,Business Entity Type 3,Working,UNKNOWN,,,,,
7362,Self-employed,Commercial associate,Laborers,,,,,
7363,Government,State servant,Cleaning staff,,,,,
7364,XNA,Pensioner,UNKNOWN,,,,,
7365,XNA,Pensioner,UNKNOWN,,,,,
7366,Business Entity Type 3,Commercial associate,Managers,,,,,
7367,Business Entity Type 2,Working,Laborers,,,,,
7368,Trade: type 3,Working,Sales staff,,,,,
7369,Security,Working,Laborers,,,,,
7370,Self-employed,Commercial associate,Sales staff,,,,,
7371,Medicine,Working,Medicine staff,,,,,
7372,Business Entity Type 3,Working,Laborers,,,,,
7373,Industry: type 9,Working,UNKNOWN,,,,,
7374,Self-employed,Working,Managers,,,,,
7375,Business Entity Type 2,Commercial associate,Accountants,,,,,
7376,Transport: type 3,Working,High skill tech staff,,,,,
7377,Business Entity Type 3,Working,UNKNOWN,,,,,
7378,Government,Working,Core staff,,,,,
7379,Self-employed,Working,Sales staff,,,,,
7380,Business Entity Type 3,Working,Drivers,,,,,
7381,Other,Working,Laborers,,,,,
7382,Other,Commercial associate,UNKNOWN,,,,,
7383,Government,Commercial associate,Laborers,,,,,
7384,Business Entity Type 3,Commercial associate,Core staff,,,,,
7385,Business Entity Type 3,Commercial associate,Drivers,,,,,
7386,Self-employed,Working,Sales staff,,,,,
7387,Medicine,Working,Medicine staff,,,,,
7388,Self-employed,Working,Sales staff,,,,,
7389,Transport: type 4,Working,Managers,,,,,
7390,Trade: type 3,Working,Managers,,,,,
7391,Business Entity Type 3,Commercial associate,Managers,,,,,
7392,Trade: type 2,Working,Managers,,,,,
7393,Self-employed,Working,Sales staff,,,,,
7394,Business Entity Type 3,Working,Sales staff,,,,,
7395,Restaurant,Commercial associate,Waiters/barmen staff,,,,,
7396,Business Entity Type 1,Working,Laborers,,,,,
7397,Business Entity Type 3,Working,Sales staff,,,,,
7398,XNA,Pensioner,UNKNOWN,,,,,
7399,Security Ministries,State servant,Core staff,,,,,
7400,XNA,Pensioner,UNKNOWN,,,,,
7401,Trade: type 2,Commercial associate,Managers,,,,,
7402,Self-employed,Working,Laborers,,,,,
7403,Business Entity Type 3,Working,UNKNOWN,,,,,
7404,XNA,Pensioner,UNKNOWN,,,,,
7405,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7406,Other,State servant,UNKNOWN,,,,,
7407,Security,Working,Security staff,,,,,
7408,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7409,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7410,XNA,Pensioner,UNKNOWN,,,,,
7411,Self-employed,Commercial associate,Core staff,,,,,
7412,Business Entity Type 3,Working,Managers,,,,,
7413,Kindergarten,Working,Cooking staff,,,,,
7414,Construction,Working,Laborers,,,,,
7415,Transport: type 4,Working,Laborers,,,,,
7416,Self-employed,Working,UNKNOWN,,,,,
7417,Self-employed,Working,Private service staff,,,,,
7418,Business Entity Type 3,Working,Drivers,,,,,
7419,Business Entity Type 3,Working,UNKNOWN,,,,,
7420,Self-employed,Working,Managers,,,,,
7421,Government,Working,Drivers,,,,,
7422,Business Entity Type 3,Commercial associate,Private service staff,,,,,
7423,Industry: type 1,Commercial associate,Laborers,,,,,
7424,Self-employed,Commercial associate,Sales staff,,,,,
7425,Transport: type 4,Commercial associate,Accountants,,,,,
7426,Government,Working,UNKNOWN,,,,,
7427,Business Entity Type 3,Commercial associate,Laborers,,,,,
7428,XNA,Pensioner,UNKNOWN,,,,,
7429,XNA,Pensioner,UNKNOWN,,,,,
7430,Business Entity Type 3,Commercial associate,Laborers,,,,,
7431,Other,Commercial associate,Drivers,,,,,
7432,Self-employed,Working,Laborers,,,,,
7433,Business Entity Type 3,Commercial associate,Laborers,,,,,
7434,Business Entity Type 3,Working,UNKNOWN,,,,,
7435,XNA,Pensioner,UNKNOWN,,,,,
7436,XNA,Pensioner,UNKNOWN,,,,,
7437,Self-employed,Working,Cleaning staff,,,,,
7438,XNA,Pensioner,UNKNOWN,,,,,
7439,Self-employed,Commercial associate,Sales staff,,,,,
7440,XNA,Pensioner,UNKNOWN,,,,,
7441,Business Entity Type 3,Working,Laborers,,,,,
7442,Security,Working,Security staff,,,,,
7443,Business Entity Type 3,Working,Accountants,,,,,
7444,Business Entity Type 3,Working,Private service staff,,,,,
7445,Industry: type 3,Working,Cooking staff,,,,,
7446,Self-employed,Working,UNKNOWN,,,,,
7447,Self-employed,Working,Drivers,,,,,
7448,School,Working,Core staff,,,,,
7449,Industry: type 11,Working,Managers,,,,,
7450,Emergency,Working,High skill tech staff,,,,,
7451,Business Entity Type 3,Working,Laborers,,,,,
7452,Other,State servant,UNKNOWN,,,,,
7453,Other,Working,Security staff,,,,,
7454,Trade: type 2,Working,Core staff,,,,,
7455,Medicine,State servant,Laborers,,,,,
7456,Government,State servant,Core staff,,,,,
7457,Other,Working,Medicine staff,,,,,
7458,Police,Working,Drivers,,,,,
7459,Business Entity Type 3,Working,Laborers,,,,,
7460,XNA,Pensioner,UNKNOWN,,,,,
7461,Trade: type 6,Commercial associate,Medicine staff,,,,,
7462,Business Entity Type 3,Working,High skill tech staff,,,,,
7463,Business Entity Type 3,Working,Laborers,,,,,
7464,Other,Working,UNKNOWN,,,,,
7465,Trade: type 7,Working,Sales staff,,,,,
7466,Self-employed,Working,Drivers,,,,,
7467,XNA,Pensioner,UNKNOWN,,,,,
7468,XNA,Pensioner,UNKNOWN,,,,,
7469,XNA,Pensioner,UNKNOWN,,,,,
7470,Self-employed,Working,Drivers,,,,,
7471,Business Entity Type 3,Commercial associate,Medicine staff,,,,,
7472,XNA,Pensioner,UNKNOWN,,,,,
7473,Postal,Working,Core staff,,,,,
7474,Trade: type 7,Working,Sales staff,,,,,
7475,Business Entity Type 3,Working,UNKNOWN,,,,,
7476,Medicine,State servant,Medicine staff,,,,,
7477,Self-employed,Working,High skill tech staff,,,,,
7478,Other,State servant,Core staff,,,,,
7479,Restaurant,Working,Drivers,,,,,
7480,Business Entity Type 1,Commercial associate,UNKNOWN,,,,,
7481,Medicine,Working,Medicine staff,,,,,
7482,Trade: type 7,Working,Core staff,,,,,
7483,Self-employed,Working,Sales staff,,,,,
7484,XNA,Pensioner,UNKNOWN,,,,,
7485,Industry: type 11,Working,Laborers,,,,,
7486,Self-employed,Working,Laborers,,,,,
7487,XNA,Pensioner,UNKNOWN,,,,,
7488,Kindergarten,State servant,Core staff,,,,,
7489,Self-employed,Commercial associate,Laborers,,,,,
7490,Business Entity Type 2,Commercial associate,Core staff,,,,,
7491,Business Entity Type 3,Working,UNKNOWN,,,,,
7492,Self-employed,Working,Drivers,,,,,
7493,XNA,Pensioner,UNKNOWN,,,,,
7494,XNA,Pensioner,UNKNOWN,,,,,
7495,Security,State servant,Security staff,,,,,
7496,Other,State servant,Core staff,,,,,
7497,Business Entity Type 3,Working,Low-skill Laborers,,,,,
7498,Kindergarten,Working,Laborers,,,,,
7499,Self-employed,Working,Laborers,,,,,
7500,Government,State servant,Core staff,,,,,
7501,Trade: type 7,Commercial associate,Laborers,,,,,
7502,Kindergarten,State servant,Core staff,,,,,
7503,XNA,Pensioner,UNKNOWN,,,,,
7504,Agriculture,Commercial associate,UNKNOWN,,,,,
7505,Bank,Working,Accountants,,,,,
7506,Business Entity Type 3,Working,Drivers,,,,,
7507,Government,State servant,Accountants,,,,,
7508,XNA,Pensioner,UNKNOWN,,,,,
7509,Electricity,Working,High skill tech staff,,,,,
7510,Hotel,Working,Drivers,,,,,
7511,Trade: type 7,Working,Core staff,,,,,
7512,Other,Commercial associate,Sales staff,,,,,
7513,Business Entity Type 1,Working,Drivers,,,,,
7514,Business Entity Type 3,Working,Sales staff,,,,,
7515,Construction,Working,Drivers,,,,,
7516,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7517,Business Entity Type 1,Commercial associate,Drivers,,,,,
7518,Government,Working,UNKNOWN,,,,,
7519,Self-employed,Working,Sales staff,,,,,
7520,Medicine,State servant,Medicine staff,,,,,
7521,Other,Working,Laborers,,,,,
7522,School,Working,Core staff,,,,,
7523,Industry: type 9,Working,Laborers,,,,,
7524,XNA,Pensioner,UNKNOWN,,,,,
7525,Business Entity Type 3,Working,Core staff,,,,,
7526,Government,Commercial associate,Core staff,,,,,
7527,XNA,Pensioner,UNKNOWN,,,,,
7528,Self-employed,Working,Sales staff,,,,,
7529,XNA,Pensioner,UNKNOWN,,,,,
7530,Self-employed,Working,Accountants,,,,,
7531,Transport: type 2,Working,UNKNOWN,,,,,
7532,Business Entity Type 3,Working,Accountants,,,,,
7533,Other,Working,Private service staff,,,,,
7534,XNA,Pensioner,UNKNOWN,,,,,
7535,Industry: type 9,Working,High skill tech staff,,,,,
7536,XNA,Pensioner,UNKNOWN,,,,,
7537,Business Entity Type 3,Working,Laborers,,,,,
7538,Business Entity Type 3,Commercial associate,Cooking staff,,,,,
7539,Emergency,State servant,Drivers,,,,,
7540,Business Entity Type 3,Working,Core staff,,,,,
7541,Trade: type 2,Working,Laborers,,,,,
7542,Self-employed,Working,Low-skill Laborers,,,,,
7543,Self-employed,Working,Waiters/barmen staff,,,,,
7544,Hotel,Working,Core staff,,,,,
7545,Transport: type 2,Working,Laborers,,,,,
7546,Business Entity Type 3,Working,Accountants,,,,,
7547,Business Entity Type 3,Working,Drivers,,,,,
7548,Business Entity Type 2,Working,Sales staff,,,,,
7549,Business Entity Type 3,Working,Security staff,,,,,
7550,School,Working,UNKNOWN,,,,,
7551,XNA,Pensioner,UNKNOWN,,,,,
7552,XNA,Pensioner,UNKNOWN,,,,,
7553,Trade: type 7,Working,Sales staff,,,,,
7554,Self-employed,Working,Core staff,,,,,
7555,Self-employed,Working,Drivers,,,,,
7556,Transport: type 4,Working,Laborers,,,,,
7557,Business Entity Type 3,Working,Cooking staff,,,,,
7558,School,Working,Core staff,,,,,
7559,Kindergarten,Commercial associate,Laborers,,,,,
7560,Medicine,State servant,Core staff,,,,,
7561,Medicine,Commercial associate,Core staff,,,,,
7562,Business Entity Type 2,Commercial associate,UNKNOWN,,,,,
7563,Business Entity Type 2,Commercial associate,Laborers,,,,,
7564,Business Entity Type 3,Commercial associate,Laborers,,,,,
7565,Trade: type 7,Working,Core staff,,,,,
7566,Self-employed,Working,Sales staff,,,,,
7567,Business Entity Type 3,Working,Sales staff,,,,,
7568,Other,Working,Private service staff,,,,,
7569,Self-employed,Working,Sales staff,,,,,
7570,XNA,Pensioner,UNKNOWN,,,,,
7571,Business Entity Type 3,Commercial associate,Accountants,,,,,
7572,Advertising,Working,Core staff,,,,,
7573,Business Entity Type 1,Commercial associate,Laborers,,,,,
7574,Business Entity Type 1,Commercial associate,Laborers,,,,,
7575,XNA,Pensioner,UNKNOWN,,,,,
7576,Medicine,Working,Medicine staff,,,,,
7577,School,Commercial associate,Cleaning staff,,,,,
7578,Self-employed,Commercial associate,Core staff,,,,,
7579,XNA,Pensioner,UNKNOWN,,,,,
7580,Self-employed,Working,Sales staff,,,,,
7581,University,State servant,Accountants,,,,,
7582,Business Entity Type 3,Working,Drivers,,,,,
7583,Medicine,Working,Medicine staff,,,,,
7584,XNA,Pensioner,UNKNOWN,,,,,
7585,XNA,Pensioner,UNKNOWN,,,,,
7586,Trade: type 2,Working,Core staff,,,,,
7587,Housing,Working,High skill tech staff,,,,,
7588,School,Commercial associate,Core staff,,,,,
7589,Business Entity Type 3,Working,Core staff,,,,,
7590,Medicine,Working,Medicine staff,,,,,
7591,Business Entity Type 2,Working,Laborers,,,,,
7592,XNA,Pensioner,UNKNOWN,,,,,
7593,Self-employed,Working,Sales staff,,,,,
7594,Business Entity Type 1,Working,Drivers,,,,,
7595,Kindergarten,Working,Core staff,,,,,
7596,Business Entity Type 3,Working,Drivers,,,,,
7597,Transport: type 4,Working,UNKNOWN,,,,,
7598,Agriculture,Commercial associate,Laborers,,,,,
7599,XNA,Pensioner,UNKNOWN,,,,,
7600,XNA,Pensioner,UNKNOWN,,,,,
7601,Self-employed,Working,Sales staff,,,,,
7602,Business Entity Type 3,Working,Laborers,,,,,
7603,Medicine,State servant,Medicine staff,,,,,
7604,Self-employed,Working,Laborers,,,,,
7605,Medicine,Commercial associate,Core staff,,,,,
7606,Government,State servant,Managers,,,,,
7607,XNA,Pensioner,UNKNOWN,,,,,
7608,Trade: type 7,Commercial associate,Managers,,,,,
7609,XNA,Pensioner,UNKNOWN,,,,,
7610,Other,Working,UNKNOWN,,,,,
7611,Transport: type 2,Working,Laborers,,,,,
7612,Construction,Working,Sales staff,,,,,
7613,Other,Working,Laborers,,,,,
7614,Military,State servant,Laborers,,,,,
7615,Business Entity Type 2,Working,Drivers,,,,,
7616,Transport: type 3,Working,Drivers,,,,,
7617,XNA,Pensioner,UNKNOWN,,,,,
7618,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7619,Business Entity Type 3,Commercial associate,Drivers,,,,,
7620,Self-employed,Commercial associate,UNKNOWN,,,,,
7621,Self-employed,Commercial associate,Managers,,,,,
7622,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
7623,School,Working,Cleaning staff,,,,,
7624,Self-employed,Working,Security staff,,,,,
7625,Medicine,Commercial associate,Medicine staff,,,,,
7626,Business Entity Type 3,Commercial associate,Sales staff,,,,,
7627,Business Entity Type 3,Working,UNKNOWN,,,,,
7628,Industry: type 11,Working,UNKNOWN,,,,,
7629,Security,Working,Security staff,,,,,
7630,Self-employed,Working,Cooking staff,,,,,
7631,Self-employed,Working,Sales staff,,,,,
7632,XNA,Pensioner,UNKNOWN,,,,,
7633,Government,Working,Medicine staff,,,,,
7634,Self-employed,Working,Sales staff,,,,,
7635,Housing,Working,Drivers,,,,,
7636,Agriculture,Working,UNKNOWN,,,,,
7637,Medicine,State servant,Medicine staff,,,,,
7638,Self-employed,Working,Managers,,,,,
7639,XNA,Pensioner,UNKNOWN,,,,,
7640,Business Entity Type 3,Working,Cooking staff,,,,,
7641,Self-employed,Commercial associate,Drivers,,,,,
7642,Trade: type 7,Commercial associate,Managers,,,,,
7643,XNA,Pensioner,UNKNOWN,,,,,
7644,Business Entity Type 3,Working,Sales staff,,,,,
7645,Industry: type 3,Working,Laborers,,,,,
7646,Business Entity Type 3,Working,Laborers,,,,,
